"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1253,st816_Hailuoto,2020/04/16,1,"13 Linja-autot",,,,,,,,,,,,,,,,1,,,,,,
1253,st816_Hailuoto,2020/04/16,1,"14 KAPP",,,,,1,,,,1,,,1,,,,,,,1,,,
1253,st816_Hailuoto,2020/04/16,1,"15 KATP",,,,,1,,,,,,,,,,,,,1,,,,
1253,st816_Hailuoto,2020/04/16,1,"16 HA + PK",,,,,,1,,1,1,1,,1,,,3,2,1,,,,,
1253,st816_Hailuoto,2020/04/16,1,"17 HA + AV",,,,,,,,,,,,,,,,,2,,,,,
1253,st816_Hailuoto,2020/04/16,2,"11 HA-PA",,,6,16,10,8,7,1,14,21,30,35,33,18,27,17,19,10,6,2,3,3
1253,st816_Hailuoto,2020/04/16,2,"12 KAIP",,,,,2,,1,,2,1,1,1,,,,,1,,,,,
1253,st816_Hailuoto,2020/04/16,2,"13 Linja-autot",,,,,,,,,,,,,,,1,,1,,,,,
1253,st816_Hailuoto,2020/04/16,2,"14 KAPP",,,,,2,,,,,,1,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/16,2,"16 HA + PK",,,1,1,,,,,,,1,,3,,,2,,,,,1,
1253,st816_Hailuoto,2020/04/16,2,"17 HA + AV",,,,,,,,,,,,,,,,,,,1,,,
1253,st816_Hailuoto,2020/04/17,1,"11 HA-PA",,,,15,12,15,13,1,15,10,13,9,15,21,28,16,25,16,6,5,2,7
1253,st816_Hailuoto,2020/04/17,1,"12 KAIP",,,,1,,1,,,2,3,,,,,,,2,1,,,,
1253,st816_Hailuoto,2020/04/17,1,"13 Linja-autot",,,,,,1,,,1,,,,,,,1,,,,,,
1253,st816_Hailuoto,2020/04/17,1,"14 KAPP",,,,,,,,,,,,,,,,2,,,,,,
1253,st816_Hailuoto,2020/04/17,1,"15 KATP",,,,,,,,,,,2,,,,,1,,,,,,
1253,st816_Hailuoto,2020/04/17,1,"16 HA + PK",,,,,,3,2,,,1,,1,1,3,,,1,1,,1,,
1253,st816_Hailuoto,2020/04/17,1,"17 HA + AV",,,,,,,,,,,,1,2,1,,,,1,,,,
1253,st816_Hailuoto,2020/04/17,2,"11 HA-PA",,,3,16,9,6,8,1,20,25,15,21,29,4,11,7,5,3,5,1,4,2
1253,st816_Hailuoto,2020/04/17,2,"12 KAIP",,,,1,1,,1,1,,1,2,1,,,,,,,,,,
1253,st816_Hailuoto,2020/04/17,2,"13 Linja-autot",,,,,,,1,,,,1,,,,,,1,,,,,
1253,st816_Hailuoto,2020/04/17,2,"14 KAPP",,,,,2,,,,,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/17,2,"15 KATP",,,,,1,,2,,,,,2,,,,,,,,1,,
1253,st816_Hailuoto,2020/04/17,2,"16 HA + PK",,,,1,,,1,,2,2,1,4,4,,,,1,,1,,,
1253,st816_Hailuoto,2020/04/17,2,"17 HA + AV",,,,,,,,,,,,,,,1,,,,,,,
1253,st816_Hailuoto,2020/04/18,1,"11 HA-PA",,1,,,,29,15,22,17,17,18,11,11,14,16,13,9,4,7,5,,4
1253,st816_Hailuoto,2020/04/18,1,"12 KAIP",,,,,,,,1,,,,,,,1,,,,,,,
1253,st816_Hailuoto,2020/04/18,1,"13 Linja-autot",,,,,,,,1,,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/18,1,"14 KAPP",,,,,,,,,,,,,,1,,,,,,,,
1253,st816_Hailuoto,2020/04/18,1,"16 HA + PK",,,,,,1,,,5,4,,1,1,,,1,1,,2,1,,
1253,st816_Hailuoto,2020/04/18,1,"17 HA + AV",,,,,,,,1,,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/18,2,"11 HA-PA",,2,,1,,5,5,1,19,15,22,26,26,13,23,15,28,9,4,2,6,
1253,st816_Hailuoto,2020/04/18,2,"12 KAIP",,,,1,,,,,1,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/18,2,"13 Linja-autot",,,,,,,,,1,,,,,,1,,,,,,,
1253,st816_Hailuoto,2020/04/18,2,"14 KAPP",,,,,,,,,,,,1,,,,,,,,,,
1253,st816_Hailuoto,2020/04/18,2,"15 KATP",,,,,,,,,,1,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/18,2,"16 HA + PK",,,,,,,,,1,,1,2,,,2,1,2,1,,,,
1253,st816_Hailuoto,2020/04/18,2,"17 HA + AV",,,,,,,,,,1,,,,,2,,,,,,,
1253,st816_Hailuoto,2020/04/19,1,"11 HA-PA",2,,,,,39,42,19,42,34,33,34,1,23,29,14,10,10,6,7,1,4
1253,st816_Hailuoto,2020/04/19,1,"12 KAIP",,,,,,,,,,1,1,,,,1,,,,,,,
1253,st816_Hailuoto,2020/04/19,1,"13 Linja-autot",,,,,,,,,,,,,,,1,1,,,,,,
1253,st816_Hailuoto,2020/04/19,1,"15 KATP",,,,,,,,,,,,,,,,,,1,,,,
1253,st816_Hailuoto,2020/04/19,1,"16 HA + PK",,,,,,,,,1,1,1,1,,,2,,,1,,2,,
1253,st816_Hailuoto,2020/04/19,1,"17 HA + AV",,,,,,,,,1,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/19,2,"11 HA-PA",1,,,2,1,4,7,,12,24,48,60,70,39,31,7,21,19,39,7,7,6
1253,st816_Hailuoto,2020/04/19,2,"12 KAIP",,,,,,,,,1,,1,1,,1,,,,,,,,
1253,st816_Hailuoto,2020/04/19,2,"13 Linja-autot",,,,,,,,,,,,1,,,2,,1,,,,,
1253,st816_Hailuoto,2020/04/19,2,"15 KATP",,,,,,,,,,,1,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/19,2,"16 HA + PK",,,,,1,,1,,,1,,3,3,1,1,,2,1,1,1,,
1253,st816_Hailuoto,2020/04/19,2,"17 HA + AV",,,,,,,,,,,1,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/20,1,"11 HA-PA",,,,13,2,24,28,2,17,14,14,16,21,1,22,10,10,11,3,,3,6
1253,st816_Hailuoto,2020/04/20,1,"12 KAIP",,,,2,,,1,,2,,,,,,,1,1,,,,,
1253,st816_Hailuoto,2020/04/20,1,"13 Linja-autot",,,,1,,,1,,1,,,,,,,,1,,,,,
1253,st816_Hailuoto,2020/04/20,1,"14 KAPP",,,,,1,,,,,,,,,,,2,,,,,,
1253,st816_Hailuoto,2020/04/20,1,"15 KATP",,,,,1,1,,,,,1,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/20,1,"16 HA + PK",,,,,,2,,1,,,1,1,,,,3,,,,,,
1253,st816_Hailuoto,2020/04/20,2,"11 HA-PA",,,7,21,13,10,21,5,16,19,20,28,23,6,32,17,12,7,5,,4,
1253,st816_Hailuoto,2020/04/20,2,"12 KAIP",,,,,1,1,,2,1,3,,,1,,,1,1,,,,,
1253,st816_Hailuoto,2020/04/20,2,"13 Linja-autot",,,,,1,,,,,,1,,,,,,1,,,,,
1253,st816_Hailuoto,2020/04/20,2,"14 KAPP",,,,,1,,,,,1,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/20,2,"15 KATP",,,,,2,1,,,,1,,1,,,,,1,,,,,
1253,st816_Hailuoto,2020/04/20,2,"16 HA + PK",,,,,,,1,1,,2,1,1,,1,1,,,,,,,
1253,st816_Hailuoto,2020/04/20,2,"17 HA + AV",,,,,1,,,,,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/21,1,"11 HA-PA",,,,5,15,36,32,9,25,18,17,27,10,5,29,14,7,5,5,2,,4
1253,st816_Hailuoto,2020/04/21,1,"12 KAIP",,,,,1,,,,1,,,,,1,2,,,1,,,,
1253,st816_Hailuoto,2020/04/21,1,"13 Linja-autot",,,,,,,,1,1,,,,,,,1,,,,,,
1253,st816_Hailuoto,2020/04/21,1,"14 KAPP",,,,,1,,,,,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/21,1,"15 KATP",,,,,,,1,,1,,1,1,,,,,,1,,,,
1253,st816_Hailuoto,2020/04/21,1,"16 HA + PK",,,,1,,,,2,4,,1,,,1,,,3,1,,,,
1253,st816_Hailuoto,2020/04/21,1,"17 HA + AV",,,,,,,,,,,,1,1,,,1,,,,,,
1253,st816_Hailuoto,2020/04/21,2,"11 HA-PA",,,7,12,11,3,6,3,9,15,23,38,27,31,22,25,20,7,2,4,2,2
1253,st816_Hailuoto,2020/04/21,2,"12 KAIP",,,,,,1,,,,,1,,,1,2,,2,,,,,
1253,st816_Hailuoto,2020/04/21,2,"13 Linja-autot",,,,,1,,,,,,1,,,,,,1,,,,,
1253,st816_Hailuoto,2020/04/21,2,"14 KAPP",,,,,,1,,,,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/21,2,"15 KATP",,,,,1,,,,,1,,1,2,,,,,,,,,
1253,st816_Hailuoto,2020/04/21,2,"16 HA + PK",,,,,,,,,,,1,2,3,,,2,1,1,,,,
1253,st816_Hailuoto,2020/04/21,2,"17 HA + AV",,,,,,,1,,,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/22,1,"11 HA-PA",2,,,,25,20,19,15,14,21,13,11,16,2,24,23,17,9,15,7,,1
1253,st816_Hailuoto,2020/04/22,1,"12 KAIP",,,,,1,2,,4,2,1,,,1,,1,,2,,,,,
1253,st816_Hailuoto,2020/04/22,1,"13 Linja-autot",,,,,,,,,,1,,,,,,1,1,,,,,
1253,st816_Hailuoto,2020/04/22,1,"14 KAPP",,,,,1,,,,1,,,,,,,,,,,1,,
1253,st816_Hailuoto,2020/04/22,1,"15 KATP",,,,,,,1,,3,,1,,,,,1,,1,,,,
1253,st816_Hailuoto,2020/04/22,1,"16 HA + PK",,,,,,,2,3,2,3,4,,,,1,1,1,,1,,,
1253,st816_Hailuoto,2020/04/22,1,"17 HA + AV",,,,,,,1,,,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/22,2,"11 HA-PA",,,5,10,10,8,12,1,23,14,33,35,26,19,29,15,12,11,3,2,5,
1253,st816_Hailuoto,2020/04/22,2,"12 KAIP",,,,1,,2,1,,1,1,2,,4,1,,,1,2,1,,,
1253,st816_Hailuoto,2020/04/22,2,"13 Linja-autot",,,,,1,,,,,,1,,,,,,1,,,,,
1253,st816_Hailuoto,2020/04/22,2,"15 KATP",,,,,3,,1,,2,,3,4,,,,,,,,,,
1253,st816_Hailuoto,2020/04/22,2,"16 HA + PK",,,,,1,,2,,2,,3,4,3,,3,,,2,2,,1,
1253,st816_Hailuoto,2020/04/22,2,"17 HA + AV",,,,,,,1,,,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/23,1,"11 HA-PA",1,,,10,15,14,22,,12,16,11,19,4,23,23,15,11,17,5,5,,2
1253,st816_Hailuoto,2020/04/23,1,"12 KAIP",,,,,,,1,,,,,1,,,2,,,,,,,
1253,st816_Hailuoto,2020/04/23,1,"13 Linja-autot",,,,1,,1,,,1,,1,,,,,1,,,,,,
1253,st816_Hailuoto,2020/04/23,1,"14 KAPP",,,,2,,,,,,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/23,1,"15 KATP",,,,1,,,,,1,,1,,,1,,,,1,,,,
1253,st816_Hailuoto,2020/04/23,1,"16 HA + PK",,,,,,1,,,2,1,,1,,3,2,3,2,1,1,,,
1253,st816_Hailuoto,2020/04/23,1,"17 HA + AV",,,,,,,,,1,,,1,,,,,,,,,,
1253,st816_Hailuoto,2020/04/23,2,"11 HA-PA",,,5,15,9,9,11,4,18,7,18,27,42,10,31,15,11,4,6,,4,
1253,st816_Hailuoto,2020/04/23,2,"12 KAIP",,,1,,,2,2,1,,,1,,,1,,,1,,,,,
1253,st816_Hailuoto,2020/04/23,2,"13 Linja-autot",,,,,1,,,,,,1,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/23,2,"14 KAPP",,,,,,,,,,,,,,,,,1,,,,,
1253,st816_Hailuoto,2020/04/23,2,"15 KATP",,,,,1,,,,,1,,1,,1,2,,,,,,,
1253,st816_Hailuoto,2020/04/23,2,"16 HA + PK",,,,,,1,1,,3,,2,2,2,,1,1,2,,2,,,
1253,st816_Hailuoto,2020/04/23,2,"17 HA + AV",,,,,,,1,,1,,,1,,,,,,,,,,
1253,st816_Hailuoto,2020/04/24,1,"11 HA-PA",2,,,8,16,13,7,,9,7,15,22,3,21,33,28,35,4,18,7,8,7
1253,st816_Hailuoto,2020/04/24,1,"12 KAIP",,,,,,,1,,1,,1,,,1,,,,1,,,,
1253,st816_Hailuoto,2020/04/24,1,"13 Linja-autot",,,,2,,,,,2,,,,,,,1,,,,,,
1253,st816_Hailuoto,2020/04/24,1,"14 KAPP",,,,,,1,,,,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/24,1,"15 KATP",,,,1,,,1,,1,,,,,,,,,,,1,,
1253,st816_Hailuoto,2020/04/24,1,"16 HA + PK",,,,,,1,1,,2,,,6,,5,3,,1,2,,,2,
1253,st816_Hailuoto,2020/04/24,1,"17 HA + AV",,,,,,,,,,,,,,,,1,,,,,,
1253,st816_Hailuoto,2020/04/24,2,"11 HA-PA",,,5,12,12,7,10,2,17,14,14,16,28,14,15,13,4,3,4,3,8,2
1253,st816_Hailuoto,2020/04/24,2,"12 KAIP",,,,,,2,1,,2,1,,5,,1,,1,1,,,,,
1253,st816_Hailuoto,2020/04/24,2,"13 Linja-autot",,,,,,,,,,1,1,,,,,,1,,,,,
1253,st816_Hailuoto,2020/04/24,2,"14 KAPP",,,,,2,,,,,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/24,2,"15 KATP",,,,,,,,1,,,,,,,,,1,,,,,
1253,st816_Hailuoto,2020/04/24,2,"16 HA + PK",,,,,1,,1,,2,2,,2,,,2,,,,1,,,
1253,st816_Hailuoto,2020/04/24,2,"17 HA + AV",,,,,,,,,1,,,,,,,1,,,,,,
1253,st816_Hailuoto,2020/04/25,1,"11 HA-PA",3,,,,4,19,4,22,23,24,24,17,8,16,18,6,11,,18,5,,1
1253,st816_Hailuoto,2020/04/25,1,"12 KAIP",,,,,,,,,,,,,,,,,,1,,,,
1253,st816_Hailuoto,2020/04/25,1,"13 Linja-autot",,,,,,,,1,,,,,1,,,,,,,,,
1253,st816_Hailuoto,2020/04/25,1,"15 KATP",,,,,,,,,,1,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/25,1,"16 HA + PK",,,,,,,,3,1,3,4,2,1,,1,1,,,,,,
1253,st816_Hailuoto,2020/04/25,1,"17 HA + AV",,,,,,,,,,,1,,1,,,,,,,,,
1253,st816_Hailuoto,2020/04/25,2,"11 HA-PA",,,1,3,1,6,10,,17,17,20,27,29,11,29,21,24,10,13,3,4,2
1253,st816_Hailuoto,2020/04/25,2,"12 KAIP",,,,,,,,,,,,,,,,,1,,,,,
1253,st816_Hailuoto,2020/04/25,2,"13 Linja-autot",,,,,,,,,1,,,,,,1,,,,,,,
1253,st816_Hailuoto,2020/04/25,2,"16 HA + PK",,,,,1,,2,,,3,1,4,,2,3,1,3,,,,,
1253,st816_Hailuoto,2020/04/25,2,"17 HA + AV",,,,,,,,,,,,,,,,,1,,,,,
1253,st816_Hailuoto,2020/04/26,1,"11 HA-PA",1,,,,6,7,2,,6,17,27,12,18,4,14,8,14,9,2,1,3,1
1253,st816_Hailuoto,2020/04/26,1,"12 KAIP",,,,,,,1,,1,1,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/26,1,"13 Linja-autot",,,,,,,,,,,,,,,,1,,,1,,,
1253,st816_Hailuoto,2020/04/26,1,"14 KAPP",,,,,,,,,,,,,,,,1,,,,,,
1253,st816_Hailuoto,2020/04/26,1,"16 HA + PK",,,,,,,1,,,1,1,,,,1,,,,,,,
1253,st816_Hailuoto,2020/04/26,1,"17 HA + AV",,,,,,,,,,,,,1,,,,,,,,,
1253,st816_Hailuoto,2020/04/26,2,"11 HA-PA",,,,1,,3,3,4,19,14,16,26,34,16,32,24,28,12,14,,2,2
1253,st816_Hailuoto,2020/04/26,2,"12 KAIP",,,,,,,,,,,,,,,,1,,,,,,
1253,st816_Hailuoto,2020/04/26,2,"13 Linja-autot",,,,,,,,,,,,,,1,,,1,,,,,
1253,st816_Hailuoto,2020/04/26,2,"14 KAPP",,,,,,,,,,1,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/26,2,"16 HA + PK",,,,,,1,,,4,,3,2,2,1,,1,1,2,2,,,
1253,st816_Hailuoto,2020/04/26,2,"17 HA + AV",,,,,,,,,,,,1,,,,1,,,,,,
1253,st816_Hailuoto,2020/04/27,1,"11 HA-PA",,,,6,12,11,13,1,13,9,14,15,,20,2,28,28,9,7,1,,2
1253,st816_Hailuoto,2020/04/27,1,"12 KAIP",,,,,1,,2,,2,,,1,,,,1,,,,,,
1253,st816_Hailuoto,2020/04/27,1,"13 Linja-autot",,,,1,,,,,,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/27,1,"14 KAPP",,,,,,,,,1,,,,,,,,1,,,,,
1253,st816_Hailuoto,2020/04/27,1,"15 KATP",,,,1,,,,,1,,,,,1,,,,1,,,,
1253,st816_Hailuoto,2020/04/27,1,"16 HA + PK",,,,,,,1,,3,1,2,1,,1,1,3,3,1,,1,,
1253,st816_Hailuoto,2020/04/27,2,"11 HA-PA",,,8,11,14,7,13,2,10,12,17,26,23,11,22,11,12,8,5,1,7,
1253,st816_Hailuoto,2020/04/27,2,"12 KAIP",,,1,,2,,,1,1,,,1,,1,1,,,,,,,
1253,st816_Hailuoto,2020/04/27,2,"13 Linja-autot",,,,,1,,,,,1,1,,,,,,,1,,,,
1253,st816_Hailuoto,2020/04/27,2,"15 KATP",,,,,,,,,,1,,1,,1,,,,,,,,
1253,st816_Hailuoto,2020/04/27,2,"16 HA + PK",,,,2,,2,2,,2,2,1,3,,,3,1,3,,,,,
1253,st816_Hailuoto,2020/04/27,2,"17 HA + AV",,,,,1,,,,,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/28,1,"11 HA-PA",,,,3,10,12,6,5,8,9,14,13,16,1,17,10,10,9,5,5,3,1
1253,st816_Hailuoto,2020/04/28,1,"12 KAIP",,,,,1,,2,,,1,1,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/28,1,"13 Linja-autot",,,,1,,,,,1,,,,,,,1,,,,,,
1253,st816_Hailuoto,2020/04/28,1,"15 KATP",,,,,,1,1,1,1,1,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/28,1,"16 HA + PK",,,,,,,1,,2,1,3,4,1,1,2,1,,,,,,
1253,st816_Hailuoto,2020/04/28,1,"17 HA + AV",,,,,1,,,,,,,,,,,,,1,,,,
1253,st816_Hailuoto,2020/04/28,2,"11 HA-PA",,,5,11,12,11,11,5,12,12,6,14,20,,20,16,6,3,6,,5,3
1253,st816_Hailuoto,2020/04/28,2,"12 KAIP",,,2,1,1,,1,,2,,,2,,,,,1,1,,,,
1253,st816_Hailuoto,2020/04/28,2,"13 Linja-autot",,,,,1,,,,,,1,,,,,,1,,,,,
1253,st816_Hailuoto,2020/04/28,2,"15 KATP",,,,,,,2,,,,1,,1,,,,,,,,,
1253,st816_Hailuoto,2020/04/28,2,"16 HA + PK",,,1,1,,1,,1,2,1,2,1,,,1,2,2,,1,,,
1253,st816_Hailuoto,2020/04/29,1,"11 HA-PA",,,,3,10,3,21,7,22,17,11,11,10,8,25,22,25,15,8,5,,2
1253,st816_Hailuoto,2020/04/29,1,"12 KAIP",,,,1,,,2,1,2,,,,,,,,1,3,,,,
1253,st816_Hailuoto,2020/04/29,1,"13 Linja-autot",,,,1,,,,,1,,,,,,,1,,,,,,
1253,st816_Hailuoto,2020/04/29,1,"14 KAPP",,,,,,,,,1,1,,,,1,,,,,,,,
1253,st816_Hailuoto,2020/04/29,1,"15 KATP",,,,,,,1,,,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/29,1,"16 HA + PK",,,,,2,,,1,,,2,3,2,1,1,3,2,3,,,,
1253,st816_Hailuoto,2020/04/29,1,"17 HA + AV",,,,,,,,,,,,,,2,,,,,,,,
1253,st816_Hailuoto,2020/04/29,2,"11 HA-PA",,,4,14,14,10,13,4,13,15,14,17,27,2,20,12,7,10,7,2,5,
1253,st816_Hailuoto,2020/04/29,2,"12 KAIP",,,,,1,,1,2,,3,1,1,,,,,,1,,,3,
1253,st816_Hailuoto,2020/04/29,2,"13 Linja-autot",,,,,1,,,,1,,1,,,,,,1,,,,,
1253,st816_Hailuoto,2020/04/29,2,"14 KAPP",,,,,,,,,,,1,,,,1,,1,,,,,
1253,st816_Hailuoto,2020/04/29,2,"15 KATP",,,,,1,,,,,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/29,2,"16 HA + PK",,,1,,1,1,1,,1,,4,1,1,1,,1,,2,1,,,
1253,st816_Hailuoto,2020/04/29,2,"17 HA + AV",,,,,,,,,,,,1,,,,,,,,,,
1253,st816_Hailuoto,2020/04/30,1,"11 HA-PA",,,,4,7,13,10,1,8,13,16,32,28,1,33,29,16,16,8,9,2,6
1253,st816_Hailuoto,2020/04/30,1,"12 KAIP",,,,1,1,1,1,,1,,,1,,,1,1,,1,,,1,
1253,st816_Hailuoto,2020/04/30,1,"13 Linja-autot",,,,1,,,,,1,,,,1,,1,,,,,,,
1253,st816_Hailuoto,2020/04/30,1,"14 KAPP",,,,,,,1,,,,,1,,,,1,,1,,,,
1253,st816_Hailuoto,2020/04/30,1,"15 KATP",,,,1,,,1,,1,1,,,,,,,,,,,,1
1253,st816_Hailuoto,2020/04/30,1,"16 HA + PK",,,,,2,,2,,,2,4,5,3,,1,2,2,2,,,1,
1253,st816_Hailuoto,2020/04/30,1,"17 HA + AV",,,,,,,,,,,,1,,,1,,1,,,,,
1253,st816_Hailuoto,2020/04/30,2,"11 HA-PA",,,3,10,10,14,13,2,12,8,21,22,28,,17,10,6,7,5,1,6,2
1253,st816_Hailuoto,2020/04/30,2,"12 KAIP",,,,,3,,1,,1,,3,,,,,,1,,,,,
1253,st816_Hailuoto,2020/04/30,2,"13 Linja-autot",,,,,1,,,,,,1,,,,,,1,,,,,
1253,st816_Hailuoto,2020/04/30,2,"14 KAPP",,,,,,,,,1,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/30,2,"15 KATP",,,,,1,,,1,,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/30,2,"16 HA + PK",,,,,,1,3,,,,,1,2,2,,1,1,,1,,,
1253,st816_Hailuoto,2020/04/30,2,"17 HA + AV",,,,,,,,,,,,,,,,,1,,,,,
