"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_03-04,KLO_04-05,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_23-00
1429,kt91_Rajajooseppi,2020/03/01,1,"11 HA-PA",,,,,,2,,3,9,2,1,12,6,11,7,6,2,3,4,
1429,kt91_Rajajooseppi,2020/03/01,1,"12 KAIP",,,,,,1,,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/01,1,"14 KAPP",,,,,,,,,,,,,,,,1,,,,
1429,kt91_Rajajooseppi,2020/03/01,2,"11 HA-PA",,,,,,,2,7,8,11,5,2,10,9,2,2,2,,,
1429,kt91_Rajajooseppi,2020/03/01,2,"12 KAIP",,,,,,,,,1,,,,2,,,,,,,
1429,kt91_Rajajooseppi,2020/03/01,2,"16 HA + PK",,,,,,,,,,,,,1,1,,,,,,
1429,kt91_Rajajooseppi,2020/03/02,1,"11 HA-PA",,,,,,,,,,,1,2,1,,3,4,4,,,
1429,kt91_Rajajooseppi,2020/03/02,1,"14 KAPP",,,,,,,,,,,,,,,,1,,,,
1429,kt91_Rajajooseppi,2020/03/02,1,"15 KATP",,,,,,,,,,,,,,,,1,,,,
1429,kt91_Rajajooseppi,2020/03/02,2,"11 HA-PA",,,,,,,1,3,6,4,1,2,2,3,,2,3,4,,
1429,kt91_Rajajooseppi,2020/03/02,2,"12 KAIP",,,,,,,,,,,,,,1,,,,,,
1429,kt91_Rajajooseppi,2020/03/03,1,"11 HA-PA",,,,,,,,,1,5,2,3,3,5,1,5,,2,,
1429,kt91_Rajajooseppi,2020/03/03,1,"13 Linja-autot",,,,,,,,,,,,,,,,,1,,,
1429,kt91_Rajajooseppi,2020/03/03,1,"14 KAPP",,,,,,3,,,,,,2,1,,,1,,,,
1429,kt91_Rajajooseppi,2020/03/03,2,"11 HA-PA",,,,,,1,,1,8,2,8,5,4,4,1,4,4,,2,
1429,kt91_Rajajooseppi,2020/03/03,2,"14 KAPP",,,,,,,,,4,,,,,,,3,2,,,
1429,kt91_Rajajooseppi,2020/03/03,2,"16 HA + PK",,,,,,,,,,,,,1,,,,,,,
1429,kt91_Rajajooseppi,2020/03/03,2,"17 HA + AV",,,,,,,,,,,1,,,,,3,,,,
1429,kt91_Rajajooseppi,2020/03/04,1,"11 HA-PA",,,,,,,2,3,1,1,2,6,1,4,4,8,3,1,2,
1429,kt91_Rajajooseppi,2020/03/04,1,"14 KAPP",,,,,,2,,,,,1,1,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/04,1,"15 KATP",,,,,,1,,,,,1,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/04,2,"11 HA-PA",,,,,,,8,5,6,9,2,6,6,3,1,6,,2,,
1429,kt91_Rajajooseppi,2020/03/04,2,"14 KAPP",,,,,,,,,4,,,1,,3,,,,,,
1429,kt91_Rajajooseppi,2020/03/04,2,"16 HA + PK",,,,,,,,,,,,,,1,,,,,,
1429,kt91_Rajajooseppi,2020/03/05,1,"11 HA-PA",,,,,,,1,3,1,1,1,2,2,4,3,,2,,,
1429,kt91_Rajajooseppi,2020/03/05,1,"14 KAPP",,,,,,2,1,,,,,2,,,,,,1,,
1429,kt91_Rajajooseppi,2020/03/05,2,"11 HA-PA",,,,,,3,2,16,9,5,4,3,,1,,4,2,,1,
1429,kt91_Rajajooseppi,2020/03/05,2,"12 KAIP",,,,,,,1,,,,,1,,,,,,1,,
1429,kt91_Rajajooseppi,2020/03/05,2,"14 KAPP",,,,,,,,,4,,,,,,3,,,,,
1429,kt91_Rajajooseppi,2020/03/05,2,"15 KATP",,,,,,,,,,,,,,,1,,,,,
1429,kt91_Rajajooseppi,2020/03/06,1,"11 HA-PA",,,,,,2,,2,2,,2,3,3,2,1,4,2,3,,
1429,kt91_Rajajooseppi,2020/03/06,1,"12 KAIP",,,,,,,1,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/06,1,"14 KAPP",,,,,,,1,,1,,,,,,,,1,,,
1429,kt91_Rajajooseppi,2020/03/06,1,"16 HA + PK",,,,,,1,,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/06,1,"17 HA + AV",,,,,,,,,1,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/06,2,"11 HA-PA",,,,,,6,3,3,2,2,4,8,7,9,2,4,11,4,1,
1429,kt91_Rajajooseppi,2020/03/06,2,"12 KAIP",,,,,,,1,1,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/06,2,"17 HA + AV",,,,,,,,,,,,,1,,,,,,,
1429,kt91_Rajajooseppi,2020/03/07,1,"11 HA-PA",,,,,,,,3,1,1,4,8,7,10,7,8,3,2,1,
1429,kt91_Rajajooseppi,2020/03/07,1,"13 Linja-autot",,,,,,,,,,,1,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/07,2,"11 HA-PA",,,,,,6,19,26,32,35,24,17,9,3,4,5,,4,2,
1429,kt91_Rajajooseppi,2020/03/07,2,"12 KAIP",,,,,,,1,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/07,2,"14 KAPP",,,,,,,,,,,,,,,,2,,,,
1429,kt91_Rajajooseppi,2020/03/07,2,"15 KATP",,,,,,,,,,,,,,1,,,,,,
1429,kt91_Rajajooseppi,2020/03/07,2,"16 HA + PK",,,,,,,,,,1,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/08,1,"11 HA-PA",,,,,,3,2,5,3,7,11,7,5,2,2,4,2,,,
1429,kt91_Rajajooseppi,2020/03/08,2,"11 HA-PA",,,,,,,6,7,14,11,10,10,9,2,4,6,,,,
1429,kt91_Rajajooseppi,2020/03/09,1,"11 HA-PA",,,,,,2,3,5,7,8,8,5,14,14,13,2,4,8,3,
1429,kt91_Rajajooseppi,2020/03/09,2,"11 HA-PA",,,,,,,10,13,17,15,6,,2,1,5,3,2,2,,
1429,kt91_Rajajooseppi,2020/03/09,2,"12 KAIP",,,,,,,,,,,,,,,1,,,,,
1429,kt91_Rajajooseppi,2020/03/09,2,"15 KATP",,,,,,,,1,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/10,1,"11 HA-PA",,,,,,2,,4,3,2,,,3,4,5,,2,1,,
1429,kt91_Rajajooseppi,2020/03/10,1,"14 KAPP",,,,,,3,1,,,,,1,1,,,,,,,
1429,kt91_Rajajooseppi,2020/03/10,1,"17 HA + AV",,,,,,,,,1,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/10,2,"11 HA-PA",,,,,,,2,3,8,5,1,2,1,3,2,2,,1,,
1429,kt91_Rajajooseppi,2020/03/10,2,"12 KAIP",,,,,,,,,,1,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/10,2,"14 KAPP",,,,,,,,,2,,,,,,2,2,,,,
1429,kt91_Rajajooseppi,2020/03/10,2,"15 KATP",,,,,,,,,1,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/10,2,"16 HA + PK",,,,,,,,,,,1,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/11,1,"11 HA-PA",,,,,,1,,1,,,2,1,6,2,2,1,2,1,,
1429,kt91_Rajajooseppi,2020/03/11,1,"12 KAIP",,,,,,1,,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/11,1,"14 KAPP",,,,,,2,,,,,,2,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/11,2,"11 HA-PA",,,,,,,3,4,,5,3,,2,4,,4,1,5,,
1429,kt91_Rajajooseppi,2020/03/11,2,"12 KAIP",,,,,,1,,,1,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/11,2,"14 KAPP",,,,,,,,2,1,,,,,4,,,,,,
1429,kt91_Rajajooseppi,2020/03/11,2,"17 HA + AV",,,,,,,,,,,1,1,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/12,1,"11 HA-PA",,,,,,3,1,1,2,3,4,8,6,5,8,8,9,2,,
1429,kt91_Rajajooseppi,2020/03/12,1,"12 KAIP",,,,,,,,,,,1,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/12,1,"14 KAPP",,,,,,2,,,,,2,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/12,1,"16 HA + PK",,,,,,,,,,,,,,1,,,,,,
1429,kt91_Rajajooseppi,2020/03/12,2,"11 HA-PA",,,,,,1,3,6,3,7,7,1,11,3,4,3,2,5,1,
1429,kt91_Rajajooseppi,2020/03/12,2,"12 KAIP",,,,,,,,,,1,,,,,,,1,,,
1429,kt91_Rajajooseppi,2020/03/12,2,"14 KAPP",,,,,,,,1,2,,,,,3,,,,,,
1429,kt91_Rajajooseppi,2020/03/12,2,"17 HA + AV",,,,,,,,,,,,,,1,,,,,,
1429,kt91_Rajajooseppi,2020/03/13,1,"11 HA-PA",,,,,,2,,1,7,,2,4,4,7,3,12,2,8,5,
1429,kt91_Rajajooseppi,2020/03/13,1,"12 KAIP",,,,,,,,1,,,,,1,,,,,,1,
1429,kt91_Rajajooseppi,2020/03/13,1,"14 KAPP",,,,,,4,,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/13,2,"11 HA-PA",,,,,,,4,3,7,4,2,5,8,3,7,3,3,2,6,
1429,kt91_Rajajooseppi,2020/03/13,2,"14 KAPP",,,,,,,,1,2,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/13,2,"16 HA + PK",,,,,,,,,,,,,,,1,,,,,
1429,kt91_Rajajooseppi,2020/03/14,1,"11 HA-PA",,,,,,,1,,,4,2,8,4,5,,2,,2,,
1429,kt91_Rajajooseppi,2020/03/14,1,"12 KAIP",,,,,,,,,,1,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/14,2,"11 HA-PA",,,,,,,1,1,7,5,,,,6,,,,,,
1429,kt91_Rajajooseppi,2020/03/14,2,"16 HA + PK",,,,,,,,,1,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/15,1,"11 HA-PA",,,,,,4,,2,,4,1,,6,,4,1,,1,2,
1429,kt91_Rajajooseppi,2020/03/15,1,"12 KAIP",,,,,,,,,,1,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/15,1,"14 KAPP",,,,,,,,,,,,,,,2,,,,,
1429,kt91_Rajajooseppi,2020/03/15,1,"15 KATP",,,,,,,,,,,,,,,1,,,,,
1429,kt91_Rajajooseppi,2020/03/15,2,"11 HA-PA",,,,,,,2,2,2,2,7,2,4,6,,11,,1,2,
1429,kt91_Rajajooseppi,2020/03/15,2,"14 KAPP",,,,,,,,,,,,,,,1,,,,,
1429,kt91_Rajajooseppi,2020/03/15,2,"17 HA + AV",,,,,,,,,,,,,,,1,,,,,
1429,kt91_Rajajooseppi,2020/03/16,1,"11 HA-PA",,,,,,,,,1,1,1,1,,1,1,1,3,2,2,
1429,kt91_Rajajooseppi,2020/03/16,2,"11 HA-PA",,,,,,1,2,2,,,,4,2,,,,,1,1,
1429,kt91_Rajajooseppi,2020/03/16,2,"12 KAIP",,,,,,1,,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/17,1,"11 HA-PA",,,,,,,1,,,1,3,,1,2,,1,1,,,
1429,kt91_Rajajooseppi,2020/03/17,1,"14 KAPP",,,,,,3,,,,,,,2,,,,,,,
1429,kt91_Rajajooseppi,2020/03/17,1,"17 HA + AV",,,,,,,,,,,,,,,,1,,,,
1429,kt91_Rajajooseppi,2020/03/17,2,"11 HA-PA",,,,,,,,1,,3,5,,2,,,3,1,1,,
1429,kt91_Rajajooseppi,2020/03/17,2,"12 KAIP",,,,,,,,,,,1,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/17,2,"14 KAPP",,,,,,,,1,1,,,,,,,2,,,,
1429,kt91_Rajajooseppi,2020/03/17,2,"17 HA + AV",,,,,,,,1,1,,,,,,,1,,,,
1429,kt91_Rajajooseppi,2020/03/18,1,"11 HA-PA",,,,,,,,,,,,,,,,,,1,,
1429,kt91_Rajajooseppi,2020/03/18,2,"11 HA-PA",,,,,,,,,,,,,2,,,,,2,,
1429,kt91_Rajajooseppi,2020/03/18,2,"12 KAIP",,,,,,,,,,,,,,,,,,,1,
1429,kt91_Rajajooseppi,2020/03/19,1,"14 KAPP",,,,,,2,1,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/19,2,"11 HA-PA",,,,,,,3,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/19,2,"15 KATP",,,,,,,,,,,,,,,,,1,,,
1429,kt91_Rajajooseppi,2020/03/19,2,"17 HA + AV",,,,,,,,,,,,,,,,,1,,,
1429,kt91_Rajajooseppi,2020/03/20,1,"11 HA-PA",,,,,,,,,1,,,,1,,,,,,,
1429,kt91_Rajajooseppi,2020/03/20,1,"14 KAPP",,,,,,,3,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/20,2,"14 KAPP",,,,,,,,,,,,,,,,1,,,,
1429,kt91_Rajajooseppi,2020/03/21,1,"11 HA-PA",,,,,,,,,,,,,,,,,1,,,
1429,kt91_Rajajooseppi,2020/03/21,2,"14 KAPP",,,,,,,,,,,,,,3,,,,,,
1429,kt91_Rajajooseppi,2020/03/21,2,"16 HA + PK",,,,,,,,,,,,,,1,,,,,,
1429,kt91_Rajajooseppi,2020/03/22,1,"11 HA-PA",,,,,,,,2,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/22,1,"14 KAPP",,,,,,,,,,,,,,,,,4,,,
1429,kt91_Rajajooseppi,2020/03/23,1,"12 KAIP",,,,,,,,1,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/23,1,"14 KAPP",,,,,,,,2,,,,,3,2,,,,,,
1429,kt91_Rajajooseppi,2020/03/23,2,"11 HA-PA",,,,,,,,2,,,1,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/23,2,"14 KAPP",,,,,,,,1,,3,,1,,,1,1,,,,
1429,kt91_Rajajooseppi,2020/03/23,2,"15 KATP",,,,,,,,,,,,1,,,1,,,,,
1429,kt91_Rajajooseppi,2020/03/23,2,"16 HA + PK",,,,,,,,,,,,,,,,1,,,,
1429,kt91_Rajajooseppi,2020/03/24,1,"11 HA-PA",,,,,,,,,,2,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/24,1,"12 KAIP",,,,,,,,,,,,1,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/24,1,"14 KAPP",,,,,,,,3,,,,2,,2,2,,,,,
1429,kt91_Rajajooseppi,2020/03/24,1,"17 HA + AV",,,,,,,,,,,,,1,,,,,,,
1429,kt91_Rajajooseppi,2020/03/24,2,"11 HA-PA",,,,,1,,,,,1,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/24,2,"12 KAIP",,,,,,,,,,,,,,,,,,,,1
1429,kt91_Rajajooseppi,2020/03/24,2,"14 KAPP",,,,,,,,,,2,,2,,,3,1,,,,1
1429,kt91_Rajajooseppi,2020/03/24,2,"15 KATP",,,,,,,,,,,,,,,1,,,,,
1429,kt91_Rajajooseppi,2020/03/24,2,"17 HA + AV",,,,,,,,,,1,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/25,1,"11 HA-PA",1,2,1,,,,,,,,,,1,,,,,,,
1429,kt91_Rajajooseppi,2020/03/25,1,"12 KAIP",,,,,,,,1,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/25,1,"14 KAPP",,,,,,,,2,,,,,4,,,,,,,
1429,kt91_Rajajooseppi,2020/03/25,1,"15 KATP",,,1,1,,,,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/25,2,"11 HA-PA",1,1,,1,2,,,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/25,2,"12 KAIP",1,,,,,,,,,,1,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/25,2,"14 KAPP",,,,1,,,,2,,,1,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/25,2,"17 HA + AV",,,,,,,,,,,2,,,,2,,,,,
1429,kt91_Rajajooseppi,2020/03/26,1,"11 HA-PA",,,,,,,,,,,,,,1,,,,,,
1429,kt91_Rajajooseppi,2020/03/26,1,"14 KAPP",,,,,,,,1,,1,,1,1,2,,,,,,
1429,kt91_Rajajooseppi,2020/03/26,2,"11 HA-PA",,,,,,,,,,1,,,,1,,,,,,
1429,kt91_Rajajooseppi,2020/03/26,2,"14 KAPP",,,,,,,,2,,4,,1,,1,,,,,,
1429,kt91_Rajajooseppi,2020/03/26,2,"15 KATP",,,,,,,,,,1,,,,1,,,,,,
1429,kt91_Rajajooseppi,2020/03/26,2,"17 HA + AV",,,,,,,,,,,1,1,2,,,,,,,
1429,kt91_Rajajooseppi,2020/03/27,1,"14 KAPP",,,,,,,,4,,,2,2,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/27,2,"11 HA-PA",,,,,,,,,,,,,,1,,,,,,
1429,kt91_Rajajooseppi,2020/03/27,2,"14 KAPP",,,,,,,,,2,2,,,2,1,,,,,,
1429,kt91_Rajajooseppi,2020/03/27,2,"15 KATP",,,,,,,,,,2,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/28,1,"11 HA-PA",,,,,,,,,,,,,,1,,,,,,
1429,kt91_Rajajooseppi,2020/03/28,1,"14 KAPP",,,,,,,,,,,,,,1,,,,,,
1429,kt91_Rajajooseppi,2020/03/29,1,"11 HA-PA",,,,,,,,,,1,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/30,1,"14 KAPP",,,,,,,,,3,,,,3,,,,,,,
1429,kt91_Rajajooseppi,2020/03/30,1,"15 KATP",,,,,,,,,1,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/30,2,"12 KAIP",,,,,,,,,,,,,1,,,,,,,
1429,kt91_Rajajooseppi,2020/03/30,2,"14 KAPP",,,,,,,,,,,3,,1,,4,,,,,
1429,kt91_Rajajooseppi,2020/03/30,2,"17 HA + AV",,,,,,,,,,,1,,3,,,,,,,
1429,kt91_Rajajooseppi,2020/03/31,1,"14 KAPP",,,,,,,,,,,,1,1,,,,,,,
1429,kt91_Rajajooseppi,2020/03/31,2,"11 HA-PA",,,,,,,,,,1,,,1,,,,,,,
1429,kt91_Rajajooseppi,2020/03/31,2,"14 KAPP",,,,,,,,,,2,2,,,2,1,,,,,
1429,kt91_Rajajooseppi,2020/03/31,2,"15 KATP",,,,,,,,,,,,,,,1,,,,,
