"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_01-02,KLO_02-03,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21
1252,st866_Kuusamo_T,2020/02/15,1,"14 KAPP",,,,,,2,1,,2,5,3,1,,1,,,,
1252,st866_Kuusamo_T,2020/02/15,1,"15 KATP",,,,,,,,,2,,,,,,,,,
1252,st866_Kuusamo_T,2020/02/15,1,"17 HA + AV",,,,,,1,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/02/15,2,"11 HA-PA",,,,,,7,5,5,8,3,4,7,3,6,4,3,5,
1252,st866_Kuusamo_T,2020/02/15,2,"12 KAIP",,,,,,,,2,,,,,,,,,,
1252,st866_Kuusamo_T,2020/02/15,2,"14 KAPP",,,,,,1,,2,1,,2,,3,1,,,,
1252,st866_Kuusamo_T,2020/02/15,2,"15 KATP",,,,,,,1,,1,,,,1,,,,,
1252,st866_Kuusamo_T,2020/02/16,1,"11 HA-PA",,,,,5,4,6,9,8,5,8,4,7,6,4,,,
1252,st866_Kuusamo_T,2020/02/16,1,"12 KAIP",,,,,,1,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/02/16,1,"14 KAPP",,,,,,2,,,,,,,2,,,,,
1252,st866_Kuusamo_T,2020/02/16,1,"16 HA + PK",,,,,,,,,,,,,,,,1,,
1252,st866_Kuusamo_T,2020/02/16,1,"17 HA + AV",,,,,,,,,,,,,1,,,,,
1252,st866_Kuusamo_T,2020/02/16,2,"11 HA-PA",,,,,,1,5,4,8,9,6,16,3,6,7,2,5,
1252,st866_Kuusamo_T,2020/02/16,2,"14 KAPP",,,,,,1,,3,2,,,,1,,,1,,
1252,st866_Kuusamo_T,2020/02/16,2,"16 HA + PK",,,,,,,,,,,,,,,1,1,,
1252,st866_Kuusamo_T,2020/02/17,1,"11 HA-PA",,,1,,4,,1,4,8,5,4,7,10,3,4,3,,
1252,st866_Kuusamo_T,2020/02/17,1,"12 KAIP",1,,,,1,,,,,,,,,1,,,,
1252,st866_Kuusamo_T,2020/02/17,1,"14 KAPP",,,,,2,4,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/02/17,1,"15 KATP",,,,,1,,,,,1,,,,,,,,
1252,st866_Kuusamo_T,2020/02/17,1,"17 HA + AV",1,2,,,,,,,,,,,1,2,,,,
1252,st866_Kuusamo_T,2020/02/17,2,"11 HA-PA",,,,,,1,2,3,1,5,5,3,5,6,7,2,2,
1252,st866_Kuusamo_T,2020/02/17,2,"12 KAIP",1,3,,,,,,,,,,,,2,,,,
1252,st866_Kuusamo_T,2020/02/17,2,"13 Linja-autot",,,,,,,,2,,,,,,,,,,
1252,st866_Kuusamo_T,2020/02/17,2,"14 KAPP",,,,,,,,1,1,,,,,,,,,
1252,st866_Kuusamo_T,2020/02/17,2,"15 KATP",,,,,,,,,,1,1,,1,,,,,
1252,st866_Kuusamo_T,2020/02/17,2,"17 HA + AV",,,,,,,,,,,,,,1,,,,
1252,st866_Kuusamo_T,2020/02/18,1,"11 HA-PA",,,,,2,4,5,8,4,,3,3,5,2,4,,,
1252,st866_Kuusamo_T,2020/02/18,1,"15 KATP",,,,,,2,,,,1,,,,,,,,
1252,st866_Kuusamo_T,2020/02/18,2,"11 HA-PA",,,,,,1,6,6,7,1,1,6,4,3,1,3,2,
1252,st866_Kuusamo_T,2020/02/18,2,"15 KATP",,,,,,,1,,1,,1,,,,,,,
1252,st866_Kuusamo_T,2020/02/19,1,"11 HA-PA",,,,,8,5,8,7,2,3,3,7,5,5,6,3,,
1252,st866_Kuusamo_T,2020/02/19,1,"12 KAIP",,,,,2,,,1,,,,,,,,,,
1252,st866_Kuusamo_T,2020/02/19,1,"14 KAPP",,,,,2,1,,,2,1,1,2,,,,,,
1252,st866_Kuusamo_T,2020/02/19,1,"15 KATP",,,,,,1,,,,1,1,,,,,,,
1252,st866_Kuusamo_T,2020/02/19,1,"16 HA + PK",,,,,,,,1,,,,,,,,,,
1252,st866_Kuusamo_T,2020/02/19,1,"17 HA + AV",,,,,,,,3,,,,,,,,,,
1252,st866_Kuusamo_T,2020/02/19,2,"11 HA-PA",,,,,2,,8,8,6,4,5,2,10,6,2,7,4,
1252,st866_Kuusamo_T,2020/02/19,2,"12 KAIP",,,,,1,,,4,,,,,,,,,,
1252,st866_Kuusamo_T,2020/02/19,2,"14 KAPP",,,,,,,,2,1,,2,1,,2,1,,,
1252,st866_Kuusamo_T,2020/02/19,2,"15 KATP",,,,,,,,,1,,1,1,,1,1,,,
1252,st866_Kuusamo_T,2020/02/19,2,"17 HA + AV",,,,,,,,2,,,,,,,,,,
1252,st866_Kuusamo_T,2020/02/20,1,"11 HA-PA",,,,,4,6,8,13,5,8,6,5,7,6,3,3,,
1252,st866_Kuusamo_T,2020/02/20,1,"12 KAIP",,,,,,1,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/02/20,1,"14 KAPP",,,,,,2,,,2,3,2,2,,,,,,
1252,st866_Kuusamo_T,2020/02/20,1,"15 KATP",,,,,,3,,1,,4,,,1,,,,,
1252,st866_Kuusamo_T,2020/02/20,2,"11 HA-PA",,,,,,3,9,6,11,5,7,6,4,4,5,4,4,
1252,st866_Kuusamo_T,2020/02/20,2,"12 KAIP",,,,,,,,,1,,,,,,,,,
1252,st866_Kuusamo_T,2020/02/20,2,"14 KAPP",,,,,,,1,3,2,,2,1,1,2,,1,,
1252,st866_Kuusamo_T,2020/02/20,2,"15 KATP",,,,,,,,1,1,,1,2,,3,1,,,
1252,st866_Kuusamo_T,2020/02/21,1,"11 HA-PA",,,,,10,5,12,5,6,4,8,4,5,2,4,1,,
1252,st866_Kuusamo_T,2020/02/21,1,"12 KAIP",,,,,,2,,,,1,,,,1,,,,
1252,st866_Kuusamo_T,2020/02/21,1,"14 KAPP",,,,,1,2,1,3,2,1,2,,,,,,,
1252,st866_Kuusamo_T,2020/02/21,1,"15 KATP",,,,,2,,,2,1,1,1,,,,,,,
1252,st866_Kuusamo_T,2020/02/21,1,"16 HA + PK",,,,,,,,,,1,,,,,,,,
1252,st866_Kuusamo_T,2020/02/21,2,"11 HA-PA",,,,,,4,2,9,6,5,3,10,2,1,5,3,3,
1252,st866_Kuusamo_T,2020/02/21,2,"12 KAIP",,,,,,,,,1,,,,,,,1,,
1252,st866_Kuusamo_T,2020/02/21,2,"13 Linja-autot",,,,,,,,1,,,,,,,,,,
1252,st866_Kuusamo_T,2020/02/21,2,"14 KAPP",,,,,,,1,1,,3,,,,2,,,,
1252,st866_Kuusamo_T,2020/02/21,2,"15 KATP",,,,,,,1,2,,1,1,,2,1,1,,,
1252,st866_Kuusamo_T,2020/02/22,1,"11 HA-PA",,,,,5,3,4,5,5,7,10,7,10,5,5,3,,
1252,st866_Kuusamo_T,2020/02/22,1,"12 KAIP",,,,,,,,,,,1,,,,,1,,
1252,st866_Kuusamo_T,2020/02/22,1,"14 KAPP",,,,,,,2,,,,,2,,,,,,
1252,st866_Kuusamo_T,2020/02/22,1,"15 KATP",,,,,,1,,1,,,1,,,,,,,
1252,st866_Kuusamo_T,2020/02/22,1,"16 HA + PK",,,,,,,,,,,,,,,1,,,
1252,st866_Kuusamo_T,2020/02/22,1,"17 HA + AV",,,,,,,,,,,,,,,2,,,
1252,st866_Kuusamo_T,2020/02/22,2,"11 HA-PA",,,,,,3,11,3,7,6,7,8,6,5,3,,3,
1252,st866_Kuusamo_T,2020/02/22,2,"12 KAIP",,,,,,,,,,,,,,,,2,,
1252,st866_Kuusamo_T,2020/02/22,2,"14 KAPP",,,,,,,,1,,1,,,,,,,,
1252,st866_Kuusamo_T,2020/02/22,2,"15 KATP",,,,,,,1,,1,1,,,,,,,,
1252,st866_Kuusamo_T,2020/02/22,2,"17 HA + AV",,,,,,,,,,,1,,,,2,,,
1252,st866_Kuusamo_T,2020/02/23,1,"11 HA-PA",,,,,3,5,9,9,11,11,7,9,12,6,3,,,
1252,st866_Kuusamo_T,2020/02/23,1,"17 HA + AV",,,,,,,,,,,,,1,2,,,,
1252,st866_Kuusamo_T,2020/02/23,2,"11 HA-PA",,,,,,3,5,11,10,7,10,11,7,9,6,2,4,
1252,st866_Kuusamo_T,2020/02/23,2,"12 KAIP",,,,,,,,,,,,,,,1,,,
1252,st866_Kuusamo_T,2020/02/23,2,"13 Linja-autot",,,,,,,,,,,,,,1,,,,
1252,st866_Kuusamo_T,2020/02/23,2,"17 HA + AV",,,,,,,,,,,,,1,1,,,,
1252,st866_Kuusamo_T,2020/02/24,1,"11 HA-PA",,,2,,4,9,6,6,8,7,5,11,7,8,6,3,,
1252,st866_Kuusamo_T,2020/02/24,1,"14 KAPP",,,,,,1,,,1,2,1,,,,1,3,,
1252,st866_Kuusamo_T,2020/02/24,1,"15 KATP",,,,,,1,,,,1,,,1,,,,,
1252,st866_Kuusamo_T,2020/02/24,1,"16 HA + PK",,,,,,,,,,1,,,,,1,,,
1252,st866_Kuusamo_T,2020/02/24,1,"17 HA + AV",,,,,,,,,1,,,,,,,1,,
1252,st866_Kuusamo_T,2020/02/24,2,"11 HA-PA",,,,,,6,11,2,11,7,6,2,4,4,8,6,2,
1252,st866_Kuusamo_T,2020/02/24,2,"14 KAPP",,,,,,,2,1,,1,,,,1,,1,,
1252,st866_Kuusamo_T,2020/02/24,2,"15 KATP",,,,,,,,,1,,2,,1,,,,,
1252,st866_Kuusamo_T,2020/02/25,1,"11 HA-PA",,,,,11,6,4,9,7,6,6,13,9,5,8,2,,
1252,st866_Kuusamo_T,2020/02/25,1,"12 KAIP",,,,,1,,2,,,,1,,,,,,,
1252,st866_Kuusamo_T,2020/02/25,1,"14 KAPP",,,,,,5,,3,3,,,1,,,2,,,
1252,st866_Kuusamo_T,2020/02/25,1,"15 KATP",,,,,,,,,2,,1,,,,,,,
1252,st866_Kuusamo_T,2020/02/25,1,"16 HA + PK",,,,,1,,1,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/02/25,2,"11 HA-PA",,,,,,6,7,5,10,3,7,6,14,6,7,7,2,
1252,st866_Kuusamo_T,2020/02/25,2,"12 KAIP",,,,,,,,,1,,,,,,,,,
1252,st866_Kuusamo_T,2020/02/25,2,"13 Linja-autot",,,,,,,,,,,,,1,,,,,
1252,st866_Kuusamo_T,2020/02/25,2,"14 KAPP",,,,,,2,1,1,1,,,4,2,2,,,,
1252,st866_Kuusamo_T,2020/02/25,2,"15 KATP",,,,,,,1,1,1,,2,,,1,,,,
1252,st866_Kuusamo_T,2020/02/25,2,"16 HA + PK",,,,,,,,,1,,,,,,,,,
1252,st866_Kuusamo_T,2020/02/26,1,"11 HA-PA",,,,,3,4,9,11,7,5,4,3,1,8,1,,,
1252,st866_Kuusamo_T,2020/02/26,1,"12 KAIP",,,,,,1,,2,,1,,,,,,,,
1252,st866_Kuusamo_T,2020/02/26,1,"14 KAPP",,,,,,2,1,,1,1,,1,1,2,,,,
1252,st866_Kuusamo_T,2020/02/26,1,"15 KATP",,,,,,1,,1,,1,1,,1,1,,,,
1252,st866_Kuusamo_T,2020/02/26,2,"11 HA-PA",,,,,,3,4,5,13,5,2,4,2,6,2,2,2,
1252,st866_Kuusamo_T,2020/02/26,2,"12 KAIP",,,,,,,,,,,,1,,,,,,
1252,st866_Kuusamo_T,2020/02/26,2,"14 KAPP",,,,,,1,1,1,1,1,1,2,,1,2,1,,
1252,st866_Kuusamo_T,2020/02/26,2,"15 KATP",,,,,,,,,1,1,1,,2,1,1,,,
1252,st866_Kuusamo_T,2020/02/27,1,"11 HA-PA",,,,,7,2,9,16,3,7,6,5,4,7,6,3,,
1252,st866_Kuusamo_T,2020/02/27,1,"12 KAIP",,,,,1,1,,1,,,,,,,,,,
1252,st866_Kuusamo_T,2020/02/27,1,"14 KAPP",,,,,3,2,,,2,1,,1,1,,,,,
1252,st866_Kuusamo_T,2020/02/27,1,"15 KATP",,,,,,1,,1,2,,1,,2,1,,,,
1252,st866_Kuusamo_T,2020/02/27,1,"16 HA + PK",,,,,,,1,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/02/27,1,"17 HA + AV",,,,,,,,,,1,,,,,,,,
1252,st866_Kuusamo_T,2020/02/27,2,"11 HA-PA",,,,,,1,2,3,6,5,10,2,6,3,5,7,4,
1252,st866_Kuusamo_T,2020/02/27,2,"14 KAPP",,,,,,,,1,2,,,1,1,1,,,,
1252,st866_Kuusamo_T,2020/02/27,2,"15 KATP",,,,,,,1,,1,1,2,1,1,,2,,,
1252,st866_Kuusamo_T,2020/02/27,2,"16 HA + PK",,,,,,,,,,,1,,1,1,,,,
1252,st866_Kuusamo_T,2020/02/28,1,"11 HA-PA",,,,,7,7,7,7,9,5,9,8,8,6,6,,,
1252,st866_Kuusamo_T,2020/02/28,1,"12 KAIP",,,,,3,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/02/28,1,"14 KAPP",,,,,2,1,1,,1,,,3,,,,,,
1252,st866_Kuusamo_T,2020/02/28,1,"15 KATP",,,,,,1,,,2,2,,1,1,2,,,,
1252,st866_Kuusamo_T,2020/02/28,2,"11 HA-PA",,,,,1,1,8,7,8,7,6,8,9,7,7,3,2,
1252,st866_Kuusamo_T,2020/02/28,2,"12 KAIP",,,,,,,,1,,,,,1,,,,,
1252,st866_Kuusamo_T,2020/02/28,2,"14 KAPP",,,,,,,,2,1,,,3,,1,2,1,,
1252,st866_Kuusamo_T,2020/02/28,2,"15 KATP",,,,,,1,,1,2,,1,1,2,1,,2,,
1252,st866_Kuusamo_T,2020/02/29,1,"11 HA-PA",,,,,5,6,6,7,11,10,9,6,6,5,6,1,,
1252,st866_Kuusamo_T,2020/02/29,1,"12 KAIP",,,,,1,,,,,,,1,,,,,,
1252,st866_Kuusamo_T,2020/02/29,1,"14 KAPP",,,,,,2,,2,1,,,,,,,,,
1252,st866_Kuusamo_T,2020/02/29,1,"15 KATP",,,,,,1,1,1,1,1,,,,,,,,
1252,st866_Kuusamo_T,2020/02/29,1,"17 HA + AV",,,,,,,,1,,,,,,,,,,
1252,st866_Kuusamo_T,2020/02/29,2,"11 HA-PA",,,,,,9,5,5,3,8,5,10,14,3,5,4,2,
1252,st866_Kuusamo_T,2020/02/29,2,"12 KAIP",,,,,,,,,,,,,1,,,,,
1252,st866_Kuusamo_T,2020/02/29,2,"14 KAPP",,,,,,,,2,1,,2,,,,,,,
1252,st866_Kuusamo_T,2020/02/29,2,"15 KATP",,,,,,,1,,2,,,1,1,,,,,
