"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19
1430,kt82_Salla_Kelloselkä,2020/05/01,1,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/01,2,"14 KAPP",,,,3,,,1,,,
1430,kt82_Salla_Kelloselkä,2020/05/02,1,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/02,1,"14 KAPP",,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/02,2,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/03,1,"11 HA-PA",1,,,,,,,,,1
1430,kt82_Salla_Kelloselkä,2020/05/03,1,"12 KAIP",,,,,,,,,,1
1430,kt82_Salla_Kelloselkä,2020/05/03,1,"14 KAPP",,,,,,,1,,,
1430,kt82_Salla_Kelloselkä,2020/05/03,2,"13 Linja-autot",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/03,2,"14 KAPP",,,,,,2,,,,
1430,kt82_Salla_Kelloselkä,2020/05/04,1,"11 HA-PA",2,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/04,1,"13 Linja-autot",,,,,1,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/04,2,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/04,2,"14 KAPP",,,,,,,,,1,
1430,kt82_Salla_Kelloselkä,2020/05/05,1,"11 HA-PA",2,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/05,1,"13 Linja-autot",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/05,1,"14 KAPP",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/05,2,"13 Linja-autot",,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/05/05,2,"15 KATP",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/06,1,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/06,1,"14 KAPP",,1,,,,,1,,,
1430,kt82_Salla_Kelloselkä,2020/05/06,2,"13 Linja-autot",,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/06,2,"14 KAPP",,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/05/07,1,"11 HA-PA",2,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/07,1,"13 Linja-autot",,,,,,,,,1,
1430,kt82_Salla_Kelloselkä,2020/05/07,1,"14 KAPP",,1,,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/05/07,1,"15 KATP",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/07,2,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/07,2,"14 KAPP",,,,1,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/05/08,1,"11 HA-PA",2,,,,,,,,,1
1430,kt82_Salla_Kelloselkä,2020/05/08,1,"14 KAPP",,,,,,1,,,1,
1430,kt82_Salla_Kelloselkä,2020/05/08,2,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/08,2,"13 Linja-autot",,,,,,,,,1,
1430,kt82_Salla_Kelloselkä,2020/05/08,2,"14 KAPP",,1,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/09,1,"13 Linja-autot",,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/09,2,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/09,2,"13 Linja-autot",,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/05/10,1,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/10,1,"14 KAPP",,,,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/05/10,2,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/11,1,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/11,1,"13 Linja-autot",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/11,1,"14 KAPP",,1,,,,,,1,1,
1430,kt82_Salla_Kelloselkä,2020/05/11,2,"13 Linja-autot",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/11,2,"14 KAPP",,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/05/12,1,"14 KAPP",,,,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/05/12,2,"14 KAPP",,1,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/13,1,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/13,1,"14 KAPP",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/13,1,"15 KATP",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/13,2,"14 KAPP",,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/14,1,"11 HA-PA",1,,,,,,,,,1
1430,kt82_Salla_Kelloselkä,2020/05/14,1,"12 KAIP",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/14,1,"13 Linja-autot",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/14,1,"14 KAPP",,,,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/05/14,2,"11 HA-PA",,,,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/05/14,2,"14 KAPP",,,1,,,,1,,,
1430,kt82_Salla_Kelloselkä,2020/05/15,1,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/15,1,"13 Linja-autot",,,,,,,,,1,
1430,kt82_Salla_Kelloselkä,2020/05/15,1,"14 KAPP",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/15,2,"13 Linja-autot",,1,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/05/16,1,"11 HA-PA",1,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/05/16,1,"14 KAPP",,,,2,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/16,2,"14 KAPP",,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/17,1,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/17,1,"14 KAPP",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/17,2,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/18,1,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/18,1,"13 Linja-autot",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/18,1,"14 KAPP",,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/05/18,2,"14 KAPP",,,1,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/05/19,1,"11 HA-PA",2,,,,,,,,,1
1430,kt82_Salla_Kelloselkä,2020/05/19,1,"14 KAPP",,,,1,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/05/19,2,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/19,2,"14 KAPP",,,1,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/05/20,1,"13 Linja-autot",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/20,1,"14 KAPP",,,,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/05/20,2,"13 Linja-autot",,,,,,,1,,,
1430,kt82_Salla_Kelloselkä,2020/05/20,2,"14 KAPP",,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/21,1,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/21,1,"13 Linja-autot",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/21,2,"13 Linja-autot",,,,,,,2,,,
1430,kt82_Salla_Kelloselkä,2020/05/21,2,"14 KAPP",,,1,,,1,1,,,
1430,kt82_Salla_Kelloselkä,2020/05/22,1,"11 HA-PA",,,,,,,,,1,1
1430,kt82_Salla_Kelloselkä,2020/05/22,1,"13 Linja-autot",,1,,,,,,,1,
1430,kt82_Salla_Kelloselkä,2020/05/22,2,"14 KAPP",,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/05/23,2,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/23,2,"14 KAPP",,1,,,,,1,,,
1430,kt82_Salla_Kelloselkä,2020/05/25,1,"11 HA-PA",,,,,,,,,,1
1430,kt82_Salla_Kelloselkä,2020/05/25,1,"14 KAPP",,2,,,,,,,1,
1430,kt82_Salla_Kelloselkä,2020/05/25,2,"13 Linja-autot",,,,,,,2,,,
1430,kt82_Salla_Kelloselkä,2020/05/26,1,"11 HA-PA",1,,,,,,,,,1
1430,kt82_Salla_Kelloselkä,2020/05/26,1,"13 Linja-autot",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/26,1,"14 KAPP",,,,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/05/26,2,"13 Linja-autot",,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/26,2,"14 KAPP",,,,,,,1,,,
1430,kt82_Salla_Kelloselkä,2020/05/27,1,"11 HA-PA",1,,,,,,,,,1
1430,kt82_Salla_Kelloselkä,2020/05/27,1,"13 Linja-autot",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/27,1,"15 KATP",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/27,2,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/27,2,"13 Linja-autot",,,,,,,1,,,
1430,kt82_Salla_Kelloselkä,2020/05/27,2,"14 KAPP",,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/28,1,"11 HA-PA",1,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/05/28,1,"14 KAPP",,3,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/28,2,"11 HA-PA",,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/05/28,2,"14 KAPP",,,,,,,1,,1,
1430,kt82_Salla_Kelloselkä,2020/05/29,1,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/29,1,"13 Linja-autot",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/29,1,"14 KAPP",,1,,,,,1,,,
1430,kt82_Salla_Kelloselkä,2020/05/29,2,"12 KAIP",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/29,2,"14 KAPP",,,,1,1,1,1,1,,
1430,kt82_Salla_Kelloselkä,2020/05/30,1,"11 HA-PA",1,,,,,,1,,,1
1430,kt82_Salla_Kelloselkä,2020/05/30,1,"13 Linja-autot",,,,,1,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/30,1,"14 KAPP",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/31,1,"11 HA-PA",,,,,,,,,,1
1430,kt82_Salla_Kelloselkä,2020/05/31,1,"14 KAPP",,1,,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/05/31,1,"16 HA + PK",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/05/31,2,"13 Linja-autot",,,,1,,,,,,
