"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1444,vt4_Utsjoki,2020/05/01,1,"11 HA-PA",,,,,,,,,,,,,,,,1,,,,1,,,
1444,vt4_Utsjoki,2020/05/01,1,"17 HA + AV",,,,,,,,,,,,,,,,,,,1,,,,
1444,vt4_Utsjoki,2020/05/01,2,"12 KAIP",,,,,,,,,,,,,,,,1,,,,,,,
1444,vt4_Utsjoki,2020/05/01,2,"14 KAPP",,,,,,,,,,1,,,,,,,,,,,2,,
1444,vt4_Utsjoki,2020/05/01,2,"16 HA + PK",,,,,,,,,,1,,,,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/02,1,"11 HA-PA",,,,,,,,,,,,,1,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/02,2,"14 KAPP",,,,,,,,,,,,,,,,,1,,,,,,
1444,vt4_Utsjoki,2020/05/03,1,"11 HA-PA",,,,,,,,,,,,,1,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/03,2,"11 HA-PA",1,,,,,,,,,,1,,,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/03,2,"16 HA + PK",,,,,,,,,,,,,,1,,,,,,,,,
1444,vt4_Utsjoki,2020/05/04,1,"11 HA-PA",,,,,,,,,,,,,,1,,,,,,1,1,,
1444,vt4_Utsjoki,2020/05/04,2,"11 HA-PA",1,,,,,,,,,,,1,,1,,,,,,,,1,
1444,vt4_Utsjoki,2020/05/04,2,"14 KAPP",,,,,,,,,,,1,,,1,,,,,,,1,1,
1444,vt4_Utsjoki,2020/05/05,1,"11 HA-PA",,,,,,,,,1,,,,1,,,,,,,,1,,
1444,vt4_Utsjoki,2020/05/05,1,"14 KAPP",,,,1,,,,,,,,,,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/05,2,"11 HA-PA",,,,,,,,,1,,,,1,,,1,,,,,,,
1444,vt4_Utsjoki,2020/05/05,2,"14 KAPP",,,,,,,,,,,1,,,1,1,,1,,,,,1,
1444,vt4_Utsjoki,2020/05/06,1,"11 HA-PA",,,,,,,,,1,,,,1,,,,,,,1,1,,
1444,vt4_Utsjoki,2020/05/06,1,"15 KATP",,,,,,,1,,,,,,,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/06,1,"16 HA + PK",,,,,,,,,,,,,,,,,1,,,,,,
1444,vt4_Utsjoki,2020/05/06,2,"11 HA-PA",1,,,,,,,,2,,,,1,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/06,2,"12 KAIP",,,,,,,,,,,1,,,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/06,2,"14 KAPP",,,,,,,,,,,,,1,,,1,,,1,1,1,1,
1444,vt4_Utsjoki,2020/05/06,2,"15 KATP",,,,,,,,,,1,,,,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/07,1,"11 HA-PA",,,,,,,,,,,,,,1,,,,,,1,,,
1444,vt4_Utsjoki,2020/05/07,2,"11 HA-PA",,,,,,,,,1,,,,,1,1,,,,,,,,
1444,vt4_Utsjoki,2020/05/07,2,"12 KAIP",,,,,,,,,,,,,,,,,,,,1,,,
1444,vt4_Utsjoki,2020/05/07,2,"14 KAPP",,,,,,,,,,,1,,,1,,1,,,,,,2,
1444,vt4_Utsjoki,2020/05/07,2,"16 HA + PK",,,,,,,,,,,,,,,,1,,,,,,,
1444,vt4_Utsjoki,2020/05/08,1,"11 HA-PA",,,,,,,,1,2,,,,,,,,,1,,,,,
1444,vt4_Utsjoki,2020/05/08,1,"12 KAIP",,,1,,,,,,,,,,,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/08,2,"11 HA-PA",,,,,,,,,,2,,,2,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/08,2,"14 KAPP",,,,,,,,,,,,,,,,,,,1,1,1,,
1444,vt4_Utsjoki,2020/05/08,2,"15 KATP",,,,,,,,,,,,,,,,,1,,,,,,
1444,vt4_Utsjoki,2020/05/09,1,"11 HA-PA",,,,,,,,,,,,,1,,,,,,,,3,,
1444,vt4_Utsjoki,2020/05/09,2,"11 HA-PA",,,,,,,,,,,,,1,,,1,2,,,,,,
1444,vt4_Utsjoki,2020/05/09,2,"12 KAIP",,,,,,,,,,,,,,,,,,,,,,,1
1444,vt4_Utsjoki,2020/05/09,2,"14 KAPP",,,,,,,,,,,,,,,,,,,,,,1,
1444,vt4_Utsjoki,2020/05/09,2,"15 KATP",,,,,,,,,,,,,,,,,,,1,,,,
1444,vt4_Utsjoki,2020/05/10,1,"11 HA-PA",,,,,,1,,,,1,,,,,,1,,1,,,,,
1444,vt4_Utsjoki,2020/05/10,1,"15 KATP",,,,,,,,,,,,,,,1,,,,,,,,
1444,vt4_Utsjoki,2020/05/10,1,"16 HA + PK",,,,,,,,,,,,,,,,,,,,,,1,
1444,vt4_Utsjoki,2020/05/10,2,"11 HA-PA",,,,,,1,,,,,,,,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/10,2,"14 KAPP",,,,,,,,,,,,,,,,,,1,1,1,,,
1444,vt4_Utsjoki,2020/05/11,1,"11 HA-PA",,,,,,,1,,,,,,,,,,,,,,1,,
1444,vt4_Utsjoki,2020/05/11,1,"12 KAIP",,,,,,2,,,,,,,,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/11,1,"14 KAPP",,,,,,,,,,,,1,,,,,,,,,,,1
1444,vt4_Utsjoki,2020/05/11,1,"15 KATP",,,,,,,1,,,,,,,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/11,2,"11 HA-PA",,,,,,,,,,,,,,1,,,,,,,1,,
1444,vt4_Utsjoki,2020/05/11,2,"12 KAIP",,,,,,1,,,,,,,,,,,,,,1,,,
1444,vt4_Utsjoki,2020/05/11,2,"14 KAPP",,,,,,,,,,,,,,,,,,,,1,,,
1444,vt4_Utsjoki,2020/05/11,2,"15 KATP",,,,,,,,,,,,,,,1,,,,,,,,
1444,vt4_Utsjoki,2020/05/12,1,"11 HA-PA",,,,,,,,,,1,,,,1,,,,,,,,,
1444,vt4_Utsjoki,2020/05/12,1,"15 KATP",,,,,,,,,,1,,,,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/12,1,"16 HA + PK",,,,,,,,,,,,,,,,,,,,1,,,
1444,vt4_Utsjoki,2020/05/12,2,"11 HA-PA",,,,,,,,,,1,,,,1,,,,,,,,,
1444,vt4_Utsjoki,2020/05/12,2,"14 KAPP",,,,,,,,,,,,1,,,,,,,,,1,,
1444,vt4_Utsjoki,2020/05/12,2,"15 KATP",,,,,,,,,,,,,,,,1,,,,,,,
1444,vt4_Utsjoki,2020/05/12,2,"16 HA + PK",,,,,,,,1,,,,,,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/13,1,"11 HA-PA",,,,,,,,1,1,,,,1,,,,,,,1,,,
1444,vt4_Utsjoki,2020/05/13,1,"12 KAIP",,,,,,,,,,,1,,,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/13,1,"14 KAPP",,,,,,,,,,1,,1,,,,,,1,,,1,,
1444,vt4_Utsjoki,2020/05/13,1,"15 KATP",,,,,,,1,,,,,,,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/13,1,"17 HA + AV",,,,,,,,,,,,,,,,,,,,1,,,
1444,vt4_Utsjoki,2020/05/13,2,"11 HA-PA",,,,,,,,,,,,,1,,,,1,,1,,,,
1444,vt4_Utsjoki,2020/05/13,2,"14 KAPP",,,,,,,,,,,,,1,,,,1,1,,,,,1
1444,vt4_Utsjoki,2020/05/14,1,"11 HA-PA",,1,,,,,,,,1,,,2,1,,,2,1,,,,,1
1444,vt4_Utsjoki,2020/05/14,1,"14 KAPP",,,,,,,,,,,,,1,,,,1,1,,,,,
1444,vt4_Utsjoki,2020/05/14,1,"16 HA + PK",,,,,,,,,,1,,,,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/14,2,"11 HA-PA",,,,1,,,,,,,,1,1,,,,3,1,,,1,1,
1444,vt4_Utsjoki,2020/05/15,1,"11 HA-PA",,,,,,1,,1,1,,1,1,1,1,1,,,,1,1,,,
1444,vt4_Utsjoki,2020/05/15,1,"14 KAPP",,,,,,,,,,,1,,,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/15,2,"11 HA-PA",,,,,,,,,,1,1,1,,1,,,1,,1,,,,
1444,vt4_Utsjoki,2020/05/15,2,"12 KAIP",,,,,,,,,,,,,,,,,,,1,,,,
1444,vt4_Utsjoki,2020/05/15,2,"14 KAPP",,,,,,,,,,,,,1,,1,,,3,1,,,,
1444,vt4_Utsjoki,2020/05/15,2,"15 KATP",,,,,,,,,,,,,,,,,,,,,,,1
1444,vt4_Utsjoki,2020/05/16,1,"11 HA-PA",,,1,,,,,,,,1,,3,,,1,,1,,,1,,1
1444,vt4_Utsjoki,2020/05/16,1,"16 HA + PK",,,,,,,,,,,,,,1,,1,,,,1,,,
1444,vt4_Utsjoki,2020/05/16,2,"11 HA-PA",,,,,,,,,1,,1,,1,1,1,,,,,,,,
1444,vt4_Utsjoki,2020/05/16,2,"14 KAPP",,,,,,,,,,,,,,,,,,,1,1,,,
1444,vt4_Utsjoki,2020/05/16,2,"16 HA + PK",,,,,,,,,,,,,,,1,,,,,1,,,
1444,vt4_Utsjoki,2020/05/17,1,"11 HA-PA",,,,,,,,,,,,,,,,,,1,,1,1,1,
1444,vt4_Utsjoki,2020/05/17,1,"14 KAPP",,,,,,,,,,,,,,,,,,,1,,,,
1444,vt4_Utsjoki,2020/05/17,1,"15 KATP",,,,,,,,,,,,,,,1,,,,,,,,
1444,vt4_Utsjoki,2020/05/17,2,"11 HA-PA",,,,,,,,,1,,,,,,1,,1,,,,2,,2
1444,vt4_Utsjoki,2020/05/17,2,"14 KAPP",,,,,,,,,,,,,,,,,,,,,,1,
1444,vt4_Utsjoki,2020/05/18,1,"11 HA-PA",,,,,,,,,,,,,1,,,,,,1,,,,
1444,vt4_Utsjoki,2020/05/18,1,"12 KAIP",,,,,,,,,,1,,,,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/18,1,"16 HA + PK",,,,,,,1,,,,,,,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/18,2,"11 HA-PA",,,,,,,,,1,,1,,1,,,,,,,1,,,
1444,vt4_Utsjoki,2020/05/18,2,"14 KAPP",,,,,,,,,,,,,,,,,1,,1,,,,
1444,vt4_Utsjoki,2020/05/19,1,"11 HA-PA",,,,,,,1,1,,1,,,,2,,,,1,1,1,2,,
1444,vt4_Utsjoki,2020/05/19,1,"14 KAPP",1,,,,,1,,,,,,,,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/19,1,"16 HA + PK",,,,,,,,,,,1,,,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/19,2,"11 HA-PA",,,,,,,,,,,,,1,2,,,1,1,1,,1,,
1444,vt4_Utsjoki,2020/05/19,2,"14 KAPP",,,,,,,,,,,,,,,,1,,1,1,,1,2,
1444,vt4_Utsjoki,2020/05/20,1,"11 HA-PA",,,,,,,1,1,,,,,2,,,,1,,,1,,,
1444,vt4_Utsjoki,2020/05/20,1,"15 KATP",,,,,,,1,,,,,,,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/20,1,"17 HA + AV",,,,,,,,,1,,,,,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/20,2,"11 HA-PA",,,,,,,,,,,,,1,,1,,1,,,1,,,
1444,vt4_Utsjoki,2020/05/20,2,"14 KAPP",,,,,,,,,,,,,,,,,1,,,,1,1,
1444,vt4_Utsjoki,2020/05/20,2,"15 KATP",,,,,,,,,,,,,,,,,,,,,1,,
1444,vt4_Utsjoki,2020/05/21,1,"11 HA-PA",,,,,,,1,,,,,1,,,,,,,,1,1,,
1444,vt4_Utsjoki,2020/05/21,1,"16 HA + PK",,,,,,,,,1,,,,,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/21,2,"11 HA-PA",,,,,,,,,,2,,,,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/21,2,"12 KAIP",,,,,,,,,,,,,,,,,,,,,1,,
1444,vt4_Utsjoki,2020/05/21,2,"14 KAPP",,,,,,,,,,,,,,,,,2,,,,,,
1444,vt4_Utsjoki,2020/05/21,2,"15 KATP",,,,,,,,,,,,,,,,,,,,,,1,
1444,vt4_Utsjoki,2020/05/21,2,"16 HA + PK",,,,,,,,,,,,,,,,,,1,,,,,
1444,vt4_Utsjoki,2020/05/22,1,"11 HA-PA",,,,,,,,,1,,,1,4,,,,,,,1,,,
1444,vt4_Utsjoki,2020/05/22,2,"11 HA-PA",,,,,,,,,1,,,,3,1,,,,1,1,,,,1
1444,vt4_Utsjoki,2020/05/22,2,"14 KAPP",,,,,,,,,,,,,,,,,,,,1,,,
1444,vt4_Utsjoki,2020/05/23,1,"11 HA-PA",,,,,,,,,,2,,,,1,1,,,,,,1,,
1444,vt4_Utsjoki,2020/05/23,1,"17 HA + AV",,,,,,,,,,1,,,,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/23,2,"11 HA-PA",,,,,,,,,1,,,,,,1,,,,,1,,,
1444,vt4_Utsjoki,2020/05/23,2,"14 KAPP",,,,,,,,,,,,1,,,,,,,1,,,,
1444,vt4_Utsjoki,2020/05/23,2,"15 KATP",,,,,,,,,,,,,,,,,,,,1,,,
1444,vt4_Utsjoki,2020/05/24,1,"11 HA-PA",,,,,,,,,,,,,,,,,,,,,2,,1
1444,vt4_Utsjoki,2020/05/24,1,"12 KAIP",,,,,,,,,,,,,,,,,,,,1,,,
1444,vt4_Utsjoki,2020/05/24,1,"14 KAPP",,,,,,,,,,,1,,,,,1,,,,,1,,
1444,vt4_Utsjoki,2020/05/24,1,"15 KATP",,,,,,,,,,,,,,,,1,,,,,,,
1444,vt4_Utsjoki,2020/05/24,2,"11 HA-PA",,,,,,,,,1,,,,,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/24,2,"14 KAPP",,,,,,,,,,,,,1,,,,,,,,,,2
1444,vt4_Utsjoki,2020/05/24,2,"16 HA + PK",,,,,,,,,,,,,,,,,1,,,,,,
1444,vt4_Utsjoki,2020/05/24,2,"17 HA + AV",,,,,,,,,,,,,,,,,1,,,,,,
1444,vt4_Utsjoki,2020/05/25,1,"11 HA-PA",,,,,,,1,,,,,,1,,,,,,1,,1,,
1444,vt4_Utsjoki,2020/05/25,1,"12 KAIP",,,,,,,,,,1,,,,,1,,,,,,,,
1444,vt4_Utsjoki,2020/05/25,1,"14 KAPP",,,,,,,,,,,1,,,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/25,1,"15 KATP",,,,,,,,,,,,,,,,,,,,,1,,
1444,vt4_Utsjoki,2020/05/25,1,"16 HA + PK",,,,,,,1,,,,,,,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/25,2,"11 HA-PA",,,,,,,,1,1,1,,,,1,,,,,3,1,1,,1
1444,vt4_Utsjoki,2020/05/25,2,"12 KAIP",,,,,,,,,,,,,,,,2,,,1,,,,
1444,vt4_Utsjoki,2020/05/25,2,"14 KAPP",,,,,,,,,,,,,,,1,,,1,,,,,
1444,vt4_Utsjoki,2020/05/25,2,"17 HA + AV",,,,,,,,,,,,,,,,,,1,,,,1,
1444,vt4_Utsjoki,2020/05/26,1,"11 HA-PA",,,,,1,,1,,,,,2,,3,,1,2,1,,,1,1,
1444,vt4_Utsjoki,2020/05/26,1,"12 KAIP",,,,,,,,,,1,,1,,,,,,,,,1,,
1444,vt4_Utsjoki,2020/05/26,1,"14 KAPP",2,,,,,,,,,1,1,,,,,,,,,,,,1
1444,vt4_Utsjoki,2020/05/26,1,"15 KATP",,,,,1,,,,,,,,,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/26,1,"16 HA + PK",,,,,,,,,,,,,1,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/26,2,"11 HA-PA",,,,,,,,,,1,,1,2,1,2,,,2,1,,2,,
1444,vt4_Utsjoki,2020/05/26,2,"12 KAIP",,,,,,,,,,,1,,,,1,,,,,,,,
1444,vt4_Utsjoki,2020/05/26,2,"14 KAPP",,,,,,,,,,1,,1,,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/26,2,"15 KATP",,,,,,,,,,,,,,,,,,,1,,,,
1444,vt4_Utsjoki,2020/05/26,2,"16 HA + PK",,,,,,,,,,,,,,,,,,,1,,,,
1444,vt4_Utsjoki,2020/05/27,1,"11 HA-PA",,,1,,,,,1,,1,,,1,,,1,1,1,2,2,1,1,
1444,vt4_Utsjoki,2020/05/27,1,"12 KAIP",,,,,,,,,1,,1,,,1,,,,,,,,,
1444,vt4_Utsjoki,2020/05/27,1,"14 KAPP",,,,,,,,,,,,,,,,,1,,,,,1,
1444,vt4_Utsjoki,2020/05/27,1,"15 KATP",,,,,,,1,,,,,,,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/27,1,"16 HA + PK",,,,,,,,,,,,,,,,,1,,,,,,
1444,vt4_Utsjoki,2020/05/27,2,"11 HA-PA",,,,,,,,,,,1,,1,,,4,,1,3,1,,1,
1444,vt4_Utsjoki,2020/05/27,2,"12 KAIP",,,,,,,,,,,,1,,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/27,2,"14 KAPP",,,,,,,,,,,,,,,,,,,,1,,,
1444,vt4_Utsjoki,2020/05/28,1,"11 HA-PA",,,,,,,1,2,,,,1,,,,,1,,1,2,2,,
1444,vt4_Utsjoki,2020/05/28,1,"12 KAIP",,,,,,,,,,1,,1,,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/28,1,"15 KATP",,,,1,,,,,,,,,,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/28,1,"16 HA + PK",,,,,,,,,,,,,,,,1,,,,,,,
1444,vt4_Utsjoki,2020/05/28,1,"17 HA + AV",,,,,,,,,,,,,,,,,,1,,,,,
1444,vt4_Utsjoki,2020/05/28,2,"11 HA-PA",,,,,,,,,1,1,1,1,,1,,,1,2,2,1,,,
1444,vt4_Utsjoki,2020/05/28,2,"14 KAPP",,,,,,,,,,,,,,1,,,,,1,,,,
1444,vt4_Utsjoki,2020/05/29,1,"11 HA-PA",,,,,,,2,1,,,2,,1,,,1,1,,,1,,,
1444,vt4_Utsjoki,2020/05/29,1,"14 KAPP",,,,,,,,,,1,,,,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/29,1,"15 KATP",,,,,,,1,,,,,,,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/29,2,"11 HA-PA",,,,,,,,,1,,,1,1,2,,,2,4,,,,,
1444,vt4_Utsjoki,2020/05/29,2,"14 KAPP",,,,,,,,,,,,,,,,1,,1,,1,2,1,
1444,vt4_Utsjoki,2020/05/30,1,"11 HA-PA",,,,,,,,,,,,1,1,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/30,2,"11 HA-PA",1,,,,,,,,,,,,,,,,,,,,,,
1444,vt4_Utsjoki,2020/05/30,2,"14 KAPP",,,,,,,,,,,,,,,,,,1,1,,,,
1444,vt4_Utsjoki,2020/05/30,2,"17 HA + AV",,,,,,,,,,,,,,1,,,,,,,,,
1444,vt4_Utsjoki,2020/05/31,1,"11 HA-PA",,,,,,,,,,,,,,1,1,,,,,,,,
1444,vt4_Utsjoki,2020/05/31,1,"14 KAPP",,,,,,,,,,,,,,1,,,,,,1,,,
1444,vt4_Utsjoki,2020/05/31,2,"14 KAPP",,,,,,,,,,,,,,,,,1,,,,,,
